title,description,category,sub_category,type
4 Piece Set of Wicker Outdoor Furniture,"Features a white finish, and includes 2 chairs, a side table, a matching ottoman, &amp; southwestern pattern cushions on chairs and ottoman.    Dimensions:  Chairs H: 37'' X W: 33'' X L/D: 31''.   Side Table: H: 22'' X W: 19'' X L/D: 19''  Ottoman: H:15'' X W: 14'' X L/D: 14''.    
 
	
		 
 Condition  = Exc. Cond. 
	
		 
 Color  = White 
	
		 
 Upholstery  = Fabric 
	
		 
 Seat Width  = 18'' Seat Width 
	
		 
 Detail 5  = Mfr. Unknown 
	
		 
 Height:  37 in. 
		 
 Width:  33 in. 
		 
 Length:  31 in. 
 
  Item Number:  
18846-1  
  Item ID:  
101856  
  Category:  
Accent Chair  ",,,
Crate & Barrel Remolino Rectangle Mirror,"Description: The Remolino mirror from Crate and Barrel is rectangular with angled corners and a thin metal frame.  . Brand: Crate & Barrel. Model: Remolino .     Gently used - any blemishes or damage will be included in the photos. #SKU: 3002051. Tags: mirror,wall deco,glass",,,
Black Contemporary Club Chair ,"Description: This club chair has clean lines and a minimalistic modern form upholstered in black pleather and tapered wood legs in a natural finish..   Material: wood,leather.  Seat heigt: 17.5.  Gently used - any blemishes or damage will be included in the photos. #SKU: 3001699. Tags: wood,pleather,modern,contemporary",,,
New Pacific Direct Dane Side Table,Description: Enamel top on steel base in antique brass Finish.       Gently used - any blemishes or damage will be included in the photos. #SKU: 1061368. Tags: metal,,,
Marble Top Accent Table,"Description: Antiqued brass finish metal base.   Material: marble,metal.    Gently used - any blemishes or damage will be included in the photos. #SKU: 1061363. Tags: metal,marble",,,
Intertek Howin Table Lamp with Grey Shade,      Gently used - any blemishes or damage will be included in the photos. #SKU: 1061271. Tags: lighting,,,
Intertek Howin Table Lamp with White Shade,      Gently used - any blemishes or damage will be included in the photos. #SKU: 1061270. Tags: lighting,,,
Intertek H-Welldone Marble Base Table Lamp,      Gently used - any blemishes or damage will be included in the photos. #SKU: 1061269. Tags: lighting,,,
"Intertek ""Threshold"" Industrial Style Desk Lamp",      Gently used - any blemishes or damage will be included in the photos. #SKU: 1061268. Tags: lighting,,,
Surya Glazed Ceramic Table Lamp,Brand: Surya.      Gently used - any blemishes or damage will be included in the photos. #SKU: 1061267. Tags: lighting,,,
Four Drawer Console Table,Description: Planked top with drawers and shelving.       Gently used - any blemishes or damage will be included in the photos. #SKU: 1061155. Tags: wood,,,
Fluted Ceramic Torchiere Floor Lamp,      Gently used - any blemishes or damage will be included in the photos. #SKU: 1061138. Tags: lighting,,,
Jonathan Louis Sectional With Chaise,"Description: Compact Track Arm Fabric Sectional With Reversible Chaise And Dark Finish Wood Feet. Brand: Jonathan Louis.    Seat heigt: 17.  Gently used - any blemishes or damage will be included in the photos. #SKU: 1057491. Tags: liquidation,modern,fabric",,,
LIKE NEW Uppland Sofa - Light Gray,"3 Seater Sofa with 6 years of warranty. Retail price $849

Color is light gray and cover is fabric. Barely used!
Measures: 36.25X88.25X36.25
Never exposed to dogs, carts or smoke.
Pick up directly on the first floor.

Enjoy the super comfy UPPLAND sofa with embracing feel and deep seat cushions made of pocket springs, high resilience foam and polyester fibers, adding both firm support and relaxing softness.

Reversible back cushions provide soft support for your back and two different sides to wear. Thanks to the combination of polyester fibers and cut foam the cushions will retain their shape and comfort year after year.",,,
Waiting Room Chair Set, Set of two chairs ,,,
Man With Hat Art,"Find more information about this listing on Kashew. Pickup is possible in person and free, or we can have it shipped to you nationwide with a full money back guarantee.",,,
La-Z-Boy Blue Rocking Recliner,"Features blue chenille upholstery, square tufted back and chaise, padded rolled arms, rocking base, and manual wooden pull lever recline mechanism on the right hand side.  
 
	
		 
 Manufacturer  = La-Z-Boy 
	
		 
 Condition  = Exc. Cond. 
	
		 
 Color  = Blue 
	
		 
 Upholstery  = Chenille 
	
		 
 Seat Width  = Seat Width: 19"" 
	
		 
 Height:  40 in. 
		 
 Width:  32 in. 
		 
 Length:  27 in. 
 
  Item Number:  
18444-1  
  Item ID:  
101895  
  Category:  
Recliner  ",,,
Set of 3 Leather Seat Iron Back Counter Stools LG223-25," Upgrade your kitchen or home bar with our Set of 3 Leather Seat Metal Back Counter Stools. With a sturdy metal back and comfortable leather seat, these stools are perfect for entertaining or everyday use. Elevate your space with style and function. 
 Condition: Very good.   
 Dimensions: 21 x 19 x 36""H  Seat = 24"" 
 Local pick up Potomac, MD.  Contact us for shipper suggestions. ",,,
Wood And Metal End Table With Tray Base,"Wood And Metal End Table With Tray Base  
 
 
 Height  = 25""H 
 
 Depth  = 15""D 
 
 Width  = 18""w 
  
 
  Item Number:  
437-263  
  Item ID:  
60422  
  Category:  
End Tables  ",,,
Thomasville Wooden Tea Cart With Drop Leaf Sides,"Thomasville Wooden Tea Cart With Drop Leaf Sides  
 
 
 Brand  = Thomasville 
 
 Height  = 31""h 
 
 Depth  = 18""D 
 
 Width  = 38""W 
  
 
  Item Number:  
10375-4  
  Item ID:  
60413  
  Category:  
Beverage Carts  ",,,
Tall Clear Glass Vase In Metal Stand,"Tall Clear Glass Vase In Metal Stand  
 
 
 Width  = 13""R 
 
 Height  = 40""H 
  
 
  Item Number:  
437-260  
  Item ID:  
60419  
  Category:  
Vase  ",,,
Round Glass Gold Metal Coffee Table,"Round Glass Gold Metal Coffee Table  
 
 
 Height  = 18""H 
 
 Width  = 35""R 
  
 
  Item Number:  
10375-5  
  Item ID:  
60414  
  Category:  
Coffee Tables  ",,,
